时间,货币和准货币(M2)供应量期末值(亿元),货币和准货币(M2)供应量同比增长(%),货币(M1)供应量期末值(亿元),货币(M1)供应量同比增长(%),流通中现金(M0)供应量期末值(亿元),流通中现金(M0)供应量同比增长(%)
2024年6月,3050161.54,6.2,660610.52,-5,117736.77,11.7
2024年5月,3018506.73,7,646842.47,-4.2,117062.72,11.7
2024年4月,3011941.98,7.2,660065.69,-1.4,117310.55,10.8
2024年3月,3047952.16,8.3,685808.9,1.1,117210.5,11
2024年2月,2995572.97,8.7,665916.09,1.2,121009.93,12.5
2024年1月,2976250.2,8.7,694197.88,5.9,121398.54,5.9
2023年12月,2922713.33,9.7,680542.52,1.3,113444.64,8.3
2023年11月,2912014.22,10,675903.41,1.3,110225.18,10.4
2023年10月,2882276.07,10.3,674696.07,1.9,108565.35,10.2
2023年9月,2896659.11,10.3,678443.65,2.1,109253.22,10.7
2023年8月,2869343.25,10.6,679588.35,2.2,106515.36,9.5
2023年7月,2854031.56,10.7,677218.92,2.3,106129.68,9.9
2023年6月,2873023.83,11.3,695595.48,3.1,105419.2,9.8
2023年5月,2820504.68,11.6,675252.98,4.7,104756.71,9.6
2023年4月,2808469.34,12.4,669761.55,5.3,105904.46,10.7
2023年3月,2814566.31,12.7,678059.63,5.1,105591.3,11
2023年2月,2755249.23,12.9,657938.74,5.8,107602.58,10.6
2023年1月,2738072.06,12.6,655214.16,6.7,114601.3,7.9
2022年12月,2664320.84,11.8,671674.76,3.7,104706.03,15.3
2022年11月,2647008.48,12.4,667042.61,4.6,99740.12,14.1
2022年10月,2612914.57,11.8,662140.99,5.8,98416.71,14.3
2022年9月,2626600.92,12.1,664535.17,6.4,98672.06,13.6
2022年8月,2595068.27,12.2,664604.85,6.1,97231.03,14.3
2022年7月,2578078.57,12,661832.33,6.7,96509.19,13.9
2022年6月,2581451.2,11.4,674374.81,5.8,96011.17,13.8
2022年5月,2527026.15,11.1,645107.52,4.6,95546.86,13.5
2022年4月,2499710.9,10.5,636139.01,5.1,95626.49,11.4
2022年3月,2497688.34,9.7,645063.8,4.7,95141.92,9.9
2022年2月,2441488.9,9.2,621612.11,4.7,97227.7,5.8
2022年1月,2431022.72,9.8,613859.35,-1.9,106188.87,18.5
2021年12月,2382899.56,9,647443.35,3.5,90825.15,7.7
2021年11月,2356012.76,8.5,637482.04,3,87433.41,7.2
2021年10月,2336160.48,8.7,626082.12,2.8,86085.78,6.2
2021年9月,2342829.7,8.3,624645.68,3.7,86867.09,5.5
2021年8月,2312267.68,8.2,626658.69,4.2,85059.2,6.3
2021年7月,2302153.82,8.3,620367.05,4.9,84717.56,6.1
2021年6月,2317788.36,8.6,637479.36,5.5,84346.97,6.2
2021年5月,2275538.07,8.3,616828.32,6.1,84177.72,5.6
2021年4月,2262107.12,8.1,605421.89,6.2,85803.37,5.3
2021年3月,2276488.45,9.4,616113.17,7.1,86543.64,4.2
2021年2月,2236030.26,10.1,593487.46,7.4,91924.6,4.2
2021年1月,2213047.33,9.4,625563.81,14.7,89625.24,-3.9
2020年12月,2186795.89,10.1,625580.99,8.6,84314.53,9.2
2020年11月,2172002.55,10.7,618632.17,10,81593.61,10.3
2020年10月,2149720.42,10.5,609182.41,9.1,81036.43,10.4
2020年9月,2164084.8,10.9,602312.12,8.1,82370.87,11.1
2020年8月,2136836.91,10.4,601289.1,8,80042.71,9.4
2020年7月,2125458.46,10.7,591192.64,6.9,79867.21,9.9
2020年6月,2134948.66,11.1,604317.97,6.5,79459.41,9.5
2020年5月,2100183.74,11.1,581111.06,6.8,79706.83,9.5
2020年4月,2093533.83,11.1,570150.48,5.5,81485.21,10.2
2020年3月,2080923.41,10.1,575050.29,5,83022.21,10.8
2020年2月,2030830.42,8.8,552700.73,4.8,88187.05,10.9
2020年1月,2023066.49,8.4,545531.79,0,93249.16,6.6
2019年12月,1986488.82,8.7,576009.15,4.4,77189.47,5.4
2019年11月,1961429.56,8.2,562486.52,3.5,73973.82,4.8
2019年10月,1945600.55,8.4,558143.92,3.3,73395.4,4.7
2019年9月,1952250.49,8.4,557137.95,3.4,74129.75,4
2019年8月,1935492.43,8.2,556798.09,3.4,73152.62,4.8
2019年7月,1919410.82,8.1,553043.11,3.1,72689.25,4.5
2019年6月,1921360.19,8.5,567696.18,4.4,72580.96,4.3
2019年5月,1891153.7,8.5,544355.64,3.4,72798.46,4.3
2019年4月,1884670.33,8.5,540614.6,2.9,73965.76,3.5
2019年3月,1889412.14,8.6,547575.54,4.6,74941.58,3.1
2019年2月,1867427.45,8,527190.48,2,79484.72,-2.4
2019年1月,1865935.33,8.4,545638.46,0.4,87470.62,17.2
2018年12月,1826744.22,8.1,551685.91,1.5,73208.4,3.6
2018年11月,1813175.07,8,543498.66,1.5,70563.3,2.8
2018年10月,1795561.6,8,540128.37,2.7,70106.62,2.8
2018年9月,1801665.58,8.3,538574.08,4,71254.26,2.2
2018年8月,1788670.43,8.2,538324.64,3.9,69775.39,3.3
2018年7月,1776196.11,8.5,536624.29,5.1,69530.59,3.6
2018年6月,1770178.37,8,543944.71,6.6,69589.33,3.9
2018年5月,1743063.79,8.3,526276.72,6,69774.81,3.6
2018年4月,1737683.73,8.3,525447.77,7.2,71476.46,4.5
2018年3月,1739859.48,8.2,523540.07,7.1,72692.63,6
2018年2月,1729070.12,8.8,517035.99,8.5,81424.24,13.5
2018年1月,1720814.46,8.6,543247.13,15,74636.29,-13.8
2017年12月,1690235.31,8.2,543790.15,11.8,70645.6,3.4
2017年11月,1679156.64,9.1,535565.05,12.7,68623.16,5.7
2017年10月,1662449.96,8.8,525977.19,13,68230.69,6.3
2017年9月,1663666.05,9.2,517863.04,14,69748.54,7.2
2017年8月,1652947.3,8.9,518113.93,14,67550.99,6.5
2017年7月,1636341.11,9.2,510484.58,15.3,67129.04,6.1
2017年6月,1639497.05,9.4,510228.17,15,66977.68,6.6
2017年5月,1609740.77,9.6,496389.78,17,67333.21,7.3
2017年4月,1603918.84,10.5,490180.42,18.5,68392.6,6.2
2017年3月,1607938.98,10.6,488770.09,18.8,68605.05,6.1
2017年2月,1589857,11.1,476527.6,21.4,71727.69,3.3
2017年1月,1584194.56,11.3,472526.45,14.5,86598.61,19.4
2016年12月,1550066.67,11.3,486557.24,21.4,68303.87,8.1
2016年11月,1530432.06,11.4,475405.54,22.7,64903.5,7.6
2016年10月,1519485.4,11.6,465446.65,23.9,64214.93,7.2
2016年9月,1516360.5,11.5,454340.25,24.7,65068.62,6.6
2016年8月,1510982.91,11.4,454543.6,25.3,63454.7,7.4
2016年7月,1491558.72,10.2,442934.43,25.4,63276.01,7.2
2016年6月,1490491.83,11.8,443643.7,24.6,62818.89,7.2
2016年5月,1461695.11,11.8,424250.7,23.7,62780.71,6.3
2016年4月,1445209.59,12.8,413504.84,22.9,64403.17,6
2016年3月,1446198.03,13.4,411581.31,22.1,64651.21,4.4
2016年2月,1424618.68,13.3,392504.7,17.4,69421.5,-4.8
